/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
0
-1
-1
Loading alpha-stable model
Nbr training obs 100000, nbr parameters 26089, obs/parameters 3.83
Starting training
Epoch 1, current loss (training) 1.4379, current loss (val) 1.4732, best loss (val) 1.4732 
Epoch 2, current loss (training) 1.7862, current loss (val) 0.9499, best loss (val) 0.9499 
Epoch 3, current loss (training) 0.6239, current loss (val) 0.7502, best loss (val) 0.7502 
Epoch 4, current loss (training) 0.6570, current loss (val) 0.6868, best loss (val) 0.6868 
Epoch 5, current loss (training) 0.5724, current loss (val) 0.6958, best loss (val) 0.6868 
Epoch 6, current loss (training) 0.5297, current loss (val) 0.6520, best loss (val) 0.6520 
Epoch 7, current loss (training) 0.4985, current loss (val) 0.6122, best loss (val) 0.6122 
Epoch 8, current loss (training) 0.4824, current loss (val) 0.5928, best loss (val) 0.5928 
Epoch 9, current loss (training) 0.4825, current loss (val) 0.6143, best loss (val) 0.5928 
Epoch 10, current loss (training) 0.5113, current loss (val) 0.6041, best loss (val) 0.5928 
Epoch 11, current loss (training) 0.4504, current loss (val) 0.5898, best loss (val) 0.5898 
Epoch 12, current loss (training) 0.4380, current loss (val) 0.5809, best loss (val) 0.5809 
Epoch 13, current loss (training) 0.4720, current loss (val) 0.5644, best loss (val) 0.5644 
Epoch 14, current loss (training) 0.4219, current loss (val) 0.5617, best loss (val) 0.5617 
Epoch 15, current loss (training) 0.5194, current loss (val) 0.5593, best loss (val) 0.5593 
Epoch 16, current loss (training) 0.4487, current loss (val) 0.5952, best loss (val) 0.5593 
Epoch 17, current loss (training) 0.5316, current loss (val) 0.5987, best loss (val) 0.5593 
Epoch 18, current loss (training) 0.6366, current loss (val) 0.6456, best loss (val) 0.5593 
Epoch 19, current loss (training) 0.4771, current loss (val) 0.5962, best loss (val) 0.5593 
Epoch 20, current loss (training) 0.4532, current loss (val) 0.5534, best loss (val) 0.5534 
Epoch 21, current loss (training) 0.5154, current loss (val) 0.5619, best loss (val) 0.5534 
Epoch 22, current loss (training) 0.6332, current loss (val) 0.6202, best loss (val) 0.5534 
Epoch 23, current loss (training) 0.4077, current loss (val) 0.5213, best loss (val) 0.5213 
Epoch 24, current loss (training) 0.4728, current loss (val) 0.5322, best loss (val) 0.5213 
Epoch 25, current loss (training) 0.4001, current loss (val) 0.5191, best loss (val) 0.5191 
Epoch 26, current loss (training) 0.3881, current loss (val) 0.5061, best loss (val) 0.5061 
Epoch 27, current loss (training) 0.3682, current loss (val) 0.5000, best loss (val) 0.5000 
Epoch 28, current loss (training) 0.3803, current loss (val) 0.4954, best loss (val) 0.4954 
Epoch 29, current loss (training) 0.3696, current loss (val) 0.4773, best loss (val) 0.4773 
Epoch 30, current loss (training) 0.3877, current loss (val) 0.4773, best loss (val) 0.4773 
Epoch 31, current loss (training) 0.3678, current loss (val) 0.4852, best loss (val) 0.4773 
Epoch 32, current loss (training) 0.5286, current loss (val) 0.6365, best loss (val) 0.4773 
Epoch 33, current loss (training) 0.3694, current loss (val) 0.4831, best loss (val) 0.4773 
Epoch 34, current loss (training) 0.3580, current loss (val) 0.5115, best loss (val) 0.4773 
Epoch 35, current loss (training) 0.3592, current loss (val) 0.4962, best loss (val) 0.4773 
Epoch 36, current loss (training) 0.3380, current loss (val) 0.5050, best loss (val) 0.4773 
Epoch 37, current loss (training) 0.3409, current loss (val) 0.5069, best loss (val) 0.4773 
Epoch 38, current loss (training) 0.3409, current loss (val) 0.5011, best loss (val) 0.4773 
Epoch 39, current loss (training) 0.3506, current loss (val) 0.5101, best loss (val) 0.4773 
Epoch 40, current loss (training) 0.3616, current loss (val) 0.5180, best loss (val) 0.4773 
Epoch 41, current loss (training) 0.3275, current loss (val) 0.5179, best loss (val) 0.4773 
Epoch 42, current loss (training) 0.3526, current loss (val) 0.5091, best loss (val) 0.4773 
Epoch 43, current loss (training) 0.3330, current loss (val) 0.5075, best loss (val) 0.4773 
Epoch 44, current loss (training) 0.3463, current loss (val) 0.5109, best loss (val) 0.4773 
Epoch 45, current loss (training) 0.3667, current loss (val) 0.5288, best loss (val) 0.4773 
Epoch 46, current loss (training) 0.3320, current loss (val) 0.5160, best loss (val) 0.4773 
Epoch 47, current loss (training) 0.3304, current loss (val) 0.5157, best loss (val) 0.4773 
Epoch 48, current loss (training) 0.3419, current loss (val) 0.5151, best loss (val) 0.4773 
Epoch 49, current loss (training) 0.3539, current loss (val) 0.5381, best loss (val) 0.4773 
Epoch 50, current loss (training) 0.3248, current loss (val) 0.5113, best loss (val) 0.4773 
Epoch 51, current loss (training) 0.3469, current loss (val) 0.5162, best loss (val) 0.4773 
Epoch 52, current loss (training) 0.3173, current loss (val) 0.4991, best loss (val) 0.4773 
Epoch 53, current loss (training) 0.3211, current loss (val) 0.5060, best loss (val) 0.4773 
Epoch 54, current loss (training) 0.3252, current loss (val) 0.5026, best loss (val) 0.4773 
Epoch 55, current loss (training) 0.3409, current loss (val) 0.5107, best loss (val) 0.4773 
Epoch 56, current loss (training) 0.3197, current loss (val) 0.4959, best loss (val) 0.4773 
Epoch 57, current loss (training) 0.3208, current loss (val) 0.4926, best loss (val) 0.4773 
Epoch 58, current loss (training) 0.3152, current loss (val) 0.4954, best loss (val) 0.4773 
Epoch 59, current loss (training) 0.3091, current loss (val) 0.5066, best loss (val) 0.4773 
Epoch 60, current loss (training) 0.3232, current loss (val) 0.4922, best loss (val) 0.4773 
Epoch 61, current loss (training) 0.3194, current loss (val) 0.5166, best loss (val) 0.4773 
Epoch 62, current loss (training) 0.3253, current loss (val) 0.4918, best loss (val) 0.4773 
Epoch 63, current loss (training) 0.3163, current loss (val) 0.5029, best loss (val) 0.4773 
Epoch 64, current loss (training) 0.3157, current loss (val) 0.4887, best loss (val) 0.4773 
Epoch 65, current loss (training) 0.3157, current loss (val) 0.5009, best loss (val) 0.4773 
Epoch 66, current loss (training) 0.3119, current loss (val) 0.4963, best loss (val) 0.4773 
Epoch 67, current loss (training) 0.3090, current loss (val) 0.5032, best loss (val) 0.4773 
Epoch 68, current loss (training) 0.3201, current loss (val) 0.4933, best loss (val) 0.4773 
Epoch 69, current loss (training) 0.3426, current loss (val) 0.5155, best loss (val) 0.4773 
Epoch 70, current loss (training) 0.3292, current loss (val) 0.5049, best loss (val) 0.4773 
Epoch 71, current loss (training) 0.2854, current loss (val) 0.4878, best loss (val) 0.4773 
Epoch 72, current loss (training) 0.3121, current loss (val) 0.4934, best loss (val) 0.4773 
Epoch 73, current loss (training) 0.3215, current loss (val) 0.5092, best loss (val) 0.4773 
Epoch 74, current loss (training) 0.3324, current loss (val) 0.5102, best loss (val) 0.4773 
Epoch 75, current loss (training) 0.3032, current loss (val) 0.4876, best loss (val) 0.4773 
Epoch 76, current loss (training) 0.3077, current loss (val) 0.4798, best loss (val) 0.4773 
Epoch 77, current loss (training) 0.3045, current loss (val) 0.4905, best loss (val) 0.4773 
Epoch 78, current loss (training) 0.2885, current loss (val) 0.4933, best loss (val) 0.4773 
Epoch 79, current loss (training) 0.3052, current loss (val) 0.4933, best loss (val) 0.4773 
Epoch 80, current loss (training) 0.2932, current loss (val) 0.4925, best loss (val) 0.4773 
Epoch 81, current loss (training) 0.3155, current loss (val) 0.4993, best loss (val) 0.4773 
Epoch 82, current loss (training) 0.2974, current loss (val) 0.4966, best loss (val) 0.4773 
Epoch 83, current loss (training) 0.3071, current loss (val) 0.5100, best loss (val) 0.4773 
Epoch 84, current loss (training) 0.3038, current loss (val) 0.4982, best loss (val) 0.4773 
Epoch 85, current loss (training) 0.3105, current loss (val) 0.5155, best loss (val) 0.4773 
Epoch 86, current loss (training) 0.2947, current loss (val) 0.5124, best loss (val) 0.4773 
Epoch 87, current loss (training) 0.2812, current loss (val) 0.5015, best loss (val) 0.4773 
Epoch 88, current loss (training) 0.3013, current loss (val) 0.5098, best loss (val) 0.4773 
Epoch 89, current loss (training) 0.2967, current loss (val) 0.5071, best loss (val) 0.4773 
Epoch 90, current loss (training) 0.2955, current loss (val) 0.5022, best loss (val) 0.4773 
Epoch 91, current loss (training) 0.2841, current loss (val) 0.4977, best loss (val) 0.4773 
Epoch 92, current loss (training) 0.2948, current loss (val) 0.5059, best loss (val) 0.4773 
Epoch 93, current loss (training) 0.2967, current loss (val) 0.5052, best loss (val) 0.4773 
Epoch 94, current loss (training) 0.2892, current loss (val) 0.4985, best loss (val) 0.4773 
Epoch 95, current loss (training) 0.2881, current loss (val) 0.4962, best loss (val) 0.4773 
