/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
0
-1
-1
Loading alpha-stable model
Nbr training obs 500000, nbr parameters 25454, obs/parameters 19.64
Starting training
Epoch 1, current loss (training) 0.6500, current loss (val) 0.4204, best loss (val) 0.4204 
Epoch 2, current loss (training) 0.3200, current loss (val) 0.3327, best loss (val) 0.3327 
Epoch 3, current loss (training) 0.3339, current loss (val) 0.2855, best loss (val) 0.2855 
Epoch 4, current loss (training) 0.2323, current loss (val) 0.2284, best loss (val) 0.2284 
Epoch 5, current loss (training) 0.1957, current loss (val) 0.2092, best loss (val) 0.2092 
Epoch 6, current loss (training) 0.2135, current loss (val) 0.2093, best loss (val) 0.2092 
Epoch 7, current loss (training) 0.3127, current loss (val) 0.3080, best loss (val) 0.2092 
Epoch 8, current loss (training) 0.3198, current loss (val) 0.2979, best loss (val) 0.2092 
Epoch 9, current loss (training) 0.2214, current loss (val) 0.1954, best loss (val) 0.1954 
Epoch 10, current loss (training) 0.2252, current loss (val) 0.2133, best loss (val) 0.1954 
Epoch 11, current loss (training) 0.2845, current loss (val) 0.2590, best loss (val) 0.1954 
Epoch 12, current loss (training) 0.3380, current loss (val) 0.2495, best loss (val) 0.1954 
Epoch 13, current loss (training) 0.2046, current loss (val) 0.1789, best loss (val) 0.1789 
Epoch 14, current loss (training) 0.2125, current loss (val) 0.4315, best loss (val) 0.1789 
Epoch 15, current loss (training) 0.2168, current loss (val) 0.1954, best loss (val) 0.1789 
Epoch 16, current loss (training) 0.1978, current loss (val) 0.1977, best loss (val) 0.1789 
Epoch 17, current loss (training) 0.2536, current loss (val) 0.1834, best loss (val) 0.1789 
Epoch 18, current loss (training) 0.2494, current loss (val) 0.2232, best loss (val) 0.1789 
Epoch 19, current loss (training) 0.2980, current loss (val) 0.2808, best loss (val) 0.1789 
Epoch 20, current loss (training) 0.1763, current loss (val) 0.1787, best loss (val) 0.1787 
Epoch 21, current loss (training) 0.1785, current loss (val) 0.1677, best loss (val) 0.1677 
Epoch 22, current loss (training) 0.1628, current loss (val) 0.1624, best loss (val) 0.1624 
Epoch 23, current loss (training) 0.1614, current loss (val) 0.1603, best loss (val) 0.1603 
Epoch 24, current loss (training) 0.1687, current loss (val) 0.1690, best loss (val) 0.1603 
Epoch 25, current loss (training) 0.2035, current loss (val) 0.1829, best loss (val) 0.1603 
Epoch 26, current loss (training) 0.1552, current loss (val) 0.1468, best loss (val) 0.1468 
Epoch 27, current loss (training) 0.2219, current loss (val) 0.2478, best loss (val) 0.1468 
Epoch 28, current loss (training) 0.9786, current loss (val) 1.0939, best loss (val) 0.1468 
Epoch 29, current loss (training) 0.1719, current loss (val) 0.1671, best loss (val) 0.1468 
Epoch 30, current loss (training) 0.1729, current loss (val) 0.1561, best loss (val) 0.1468 
Epoch 31, current loss (training) 0.1811, current loss (val) 0.1655, best loss (val) 0.1468 
Epoch 32, current loss (training) 0.1820, current loss (val) 0.1707, best loss (val) 0.1468 
Epoch 33, current loss (training) 0.1872, current loss (val) 0.1678, best loss (val) 0.1468 
Epoch 34, current loss (training) 0.1637, current loss (val) 0.1683, best loss (val) 0.1468 
Epoch 35, current loss (training) 0.2082, current loss (val) 0.2029, best loss (val) 0.1468 
Epoch 36, current loss (training) 0.1742, current loss (val) 0.1756, best loss (val) 0.1468 
Epoch 37, current loss (training) 0.1693, current loss (val) 0.1580, best loss (val) 0.1468 
Epoch 38, current loss (training) 0.1550, current loss (val) 0.1558, best loss (val) 0.1468 
Epoch 39, current loss (training) 0.1564, current loss (val) 0.1512, best loss (val) 0.1468 
Epoch 40, current loss (training) 0.1688, current loss (val) 0.1564, best loss (val) 0.1468 
Epoch 41, current loss (training) 0.1679, current loss (val) 0.1593, best loss (val) 0.1468 
Epoch 42, current loss (training) 0.1547, current loss (val) 0.1497, best loss (val) 0.1468 
Epoch 43, current loss (training) 0.1565, current loss (val) 0.1493, best loss (val) 0.1468 
Epoch 44, current loss (training) 0.1833, current loss (val) 0.1748, best loss (val) 0.1468 
Epoch 45, current loss (training) 0.1596, current loss (val) 0.1578, best loss (val) 0.1468 
Epoch 46, current loss (training) 0.1970, current loss (val) 0.2072, best loss (val) 0.1468 
Epoch 47, current loss (training) 0.1659, current loss (val) 0.1537, best loss (val) 0.1468 
Epoch 48, current loss (training) 0.1628, current loss (val) 0.1576, best loss (val) 0.1468 
Epoch 49, current loss (training) 0.1908, current loss (val) 0.1808, best loss (val) 0.1468 
Epoch 50, current loss (training) 0.1549, current loss (val) 0.1480, best loss (val) 0.1468 
Epoch 51, current loss (training) 0.1638, current loss (val) 0.1668, best loss (val) 0.1468 
Epoch 52, current loss (training) 0.4236, current loss (val) 0.4650, best loss (val) 0.1468 
Epoch 53, current loss (training) 0.1566, current loss (val) 0.1461, best loss (val) 0.1461 
Epoch 54, current loss (training) 0.1486, current loss (val) 0.1479, best loss (val) 0.1461 
Epoch 55, current loss (training) 0.1455, current loss (val) 0.1485, best loss (val) 0.1461 
Epoch 56, current loss (training) 0.1533, current loss (val) 0.1456, best loss (val) 0.1456 
