Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading alpha-stable model
0
Nbr training obs 100000, nbr parameters 23924, obs/parameters 4.18
  1.659141 seconds (3.14 M allocations: 162.866 MiB, 4.25% gc time)
KnetArray{Float32,2}
  0.475701 seconds (1.06 M allocations: 55.670 MiB, 4.79% gc time)
 24.160037 seconds (3.01 M allocations: 521.308 MiB, 18.88% gc time)
  1.688554 seconds (89.33 k allocations: 4.682 MiB, 16.59% gc time)
2
(1002, 100000)
Starting training
Epoch 58, current loss (training) 0.1640, current loss (val) 0.1719, best loss (val) 0.1712 
Epoch 59, current loss (training) 0.1629, current loss (val) 0.1746, best loss (val) 0.1712 
Epoch 60, current loss (training) 0.1832, current loss (val) 0.1702, best loss (val) 0.1702 
Epoch 61, current loss (training) 0.1676, current loss (val) 0.1796, best loss (val) 0.1702 
Epoch 62, current loss (training) 0.1889, current loss (val) 0.1769, best loss (val) 0.1702 
Epoch 63, current loss (training) 0.5153, current loss (val) 0.4592, best loss (val) 0.1702 
Epoch 64, current loss (training) 0.3153, current loss (val) 0.3352, best loss (val) 0.1702 
Epoch 65, current loss (training) 0.2007, current loss (val) 0.1833, best loss (val) 0.1702 
Epoch 66, current loss (training) 0.1807, current loss (val) 0.1722, best loss (val) 0.1702 
Epoch 67, current loss (training) 0.3728, current loss (val) 0.1940, best loss (val) 0.1702 
Epoch 68, current loss (training) 0.1827, current loss (val) 0.1723, best loss (val) 0.1702 
Epoch 69, current loss (training) 0.2561, current loss (val) 0.1723, best loss (val) 0.1702 
Epoch 70, current loss (training) 0.1917, current loss (val) 0.1774, best loss (val) 0.1702 
Epoch 71, current loss (training) 0.1814, current loss (val) 0.1899, best loss (val) 0.1702 
Epoch 72, current loss (training) 1.2341, current loss (val) 1.3036, best loss (val) 0.1702 
Epoch 73, current loss (training) 0.1796, current loss (val) 0.1766, best loss (val) 0.1702 
Epoch 74, current loss (training) 0.1837, current loss (val) 0.1911, best loss (val) 0.1702 
Epoch 75, current loss (training) 0.2002, current loss (val) 0.1673, best loss (val) 0.1673 
Epoch 76, current loss (training) 0.1853, current loss (val) 0.1922, best loss (val) 0.1673 
Epoch 77, current loss (training) 0.2345, current loss (val) 0.1794, best loss (val) 0.1673 
Epoch 78, current loss (training) 0.3096, current loss (val) 0.2510, best loss (val) 0.1673 
Epoch 79, current loss (training) 0.1714, current loss (val) 0.1736, best loss (val) 0.1673 
Epoch 80, current loss (training) 0.1798, current loss (val) 0.1693, best loss (val) 0.1673 
Epoch 81, current loss (training) 0.2170, current loss (val) 0.1669, best loss (val) 0.1669 
Epoch 82, current loss (training) 0.2003, current loss (val) 0.1996, best loss (val) 0.1669 
Epoch 83, current loss (training) 0.2230, current loss (val) 0.1730, best loss (val) 0.1669 
Epoch 84, current loss (training) 0.1415, current loss (val) 0.1681, best loss (val) 0.1669 
Epoch 85, current loss (training) 0.2022, current loss (val) 0.1841, best loss (val) 0.1669 
Epoch 86, current loss (training) 0.3161, current loss (val) 0.3501, best loss (val) 0.1669 
Epoch 87, current loss (training) 0.4668, current loss (val) 0.1684, best loss (val) 0.1669 
Epoch 88, current loss (training) 0.2998, current loss (val) 0.1737, best loss (val) 0.1669 
Epoch 89, current loss (training) 0.2757, current loss (val) 0.2332, best loss (val) 0.1669 
Epoch 90, current loss (training) 0.2224, current loss (val) 0.1796, best loss (val) 0.1669 
Epoch 91, current loss (training) 0.1927, current loss (val) 0.1707, best loss (val) 0.1669 
Epoch 92, current loss (training) 0.1857, current loss (val) 0.1684, best loss (val) 0.1669 
Epoch 93, current loss (training) 0.1545, current loss (val) 0.1669, best loss (val) 0.1669 
Epoch 94, current loss (training) 0.2246, current loss (val) 0.1736, best loss (val) 0.1669 
Epoch 95, current loss (training) 0.2818, current loss (val) 0.1656, best loss (val) 0.1656 
Epoch 96, current loss (training) 0.2180, current loss (val) 0.1615, best loss (val) 0.1615 
Epoch 97, current loss (training) 0.1866, current loss (val) 0.2007, best loss (val) 0.1615 
Epoch 98, current loss (training) 0.1746, current loss (val) 0.1771, best loss (val) 0.1615 
Epoch 99, current loss (training) 0.2416, current loss (val) 0.1626, best loss (val) 0.1615 
Epoch 100, current loss (training) 0.1855, current loss (val) 0.1864, best loss (val) 0.1615 
Epoch 101, current loss (training) 0.2000, current loss (val) 0.1662, best loss (val) 0.1615 
Epoch 102, current loss (training) 0.1766, current loss (val) 0.1653, best loss (val) 0.1615 
Epoch 103, current loss (training) 0.1797, current loss (val) 0.1706, best loss (val) 0.1615 
Epoch 104, current loss (training) 0.1585, current loss (val) 0.1744, best loss (val) 0.1615 
Epoch 105, current loss (training) 0.1779, current loss (val) 0.1655, best loss (val) 0.1615 
Epoch 106, current loss (training) 0.1860, current loss (val) 0.1615, best loss (val) 0.1615 
Epoch 107, current loss (training) 0.1720, current loss (val) 0.1688, best loss (val) 0.1615 
Epoch 108, current loss (training) 0.2072, current loss (val) 0.2428, best loss (val) 0.1615 
Epoch 109, current loss (training) 0.2259, current loss (val) 0.1680, best loss (val) 0.1615 
Epoch 110, current loss (training) 0.3785, current loss (val) 0.1678, best loss (val) 0.1615 
Epoch 111, current loss (training) 0.8461, current loss (val) 0.1832, best loss (val) 0.1615 
Epoch 112, current loss (training) 0.1908, current loss (val) 0.1759, best loss (val) 0.1615 
Epoch 113, current loss (training) 0.1754, current loss (val) 0.1652, best loss (val) 0.1615 
Epoch 114, current loss (training) 0.1851, current loss (val) 0.1628, best loss (val) 0.1615 
Epoch 115, current loss (training) 0.2150, current loss (val) 0.2098, best loss (val) 0.1615 
Epoch 116, current loss (training) 0.1654, current loss (val) 0.1622, best loss (val) 0.1615 
Epoch 117, current loss (training) 0.2627, current loss (val) 0.2484, best loss (val) 0.1615 
Epoch 118, current loss (training) 0.2028, current loss (val) 0.1910, best loss (val) 0.1615 
Epoch 119, current loss (training) 0.1831, current loss (val) 0.1646, best loss (val) 0.1615 
Epoch 120, current loss (training) 0.1611, current loss (val) 0.1650, best loss (val) 0.1615 
Epoch 121, current loss (training) 0.6120, current loss (val) 0.1837, best loss (val) 0.1615 
Epoch 122, current loss (training) 0.1818, current loss (val) 0.1672, best loss (val) 0.1615 
Epoch 123, current loss (training) 0.2062, current loss (val) 0.1536, best loss (val) 0.1536 
Epoch 124, current loss (training) 0.3445, current loss (val) 0.6676, best loss (val) 0.1536 
Epoch 125, current loss (training) 0.1614, current loss (val) 0.1829, best loss (val) 0.1536 
Epoch 126, current loss (training) 0.3067, current loss (val) 0.3648, best loss (val) 0.1536 
Epoch 127, current loss (training) 0.2124, current loss (val) 0.1813, best loss (val) 0.1536 
Epoch 128, current loss (training) 0.1796, current loss (val) 0.1784, best loss (val) 0.1536 
Epoch 129, current loss (training) 0.2290, current loss (val) 0.1992, best loss (val) 0.1536 
Epoch 130, current loss (training) 0.1836, current loss (val) 0.1792, best loss (val) 0.1536 
Epoch 131, current loss (training) 0.1455, current loss (val) 0.1611, best loss (val) 0.1536 
Epoch 132, current loss (training) 0.1830, current loss (val) 0.1566, best loss (val) 0.1536 
Epoch 133, current loss (training) 0.2076, current loss (val) 0.1595, best loss (val) 0.1536 
Epoch 134, current loss (training) 0.1510, current loss (val) 0.1704, best loss (val) 0.1536 
Epoch 135, current loss (training) 0.2013, current loss (val) 0.1577, best loss (val) 0.1536 
Epoch 136, current loss (training) 0.2440, current loss (val) 0.1577, best loss (val) 0.1536 
Epoch 137, current loss (training) 0.1586, current loss (val) 0.1563, best loss (val) 0.1536 
