Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading alpha-stable model
0
Nbr training obs 1000, nbr parameters 23924, obs/parameters 0.04
  1.495932 seconds (3.14 M allocations: 162.874 MiB, 3.81% gc time)
KnetArray{Float32,2}
  0.445208 seconds (1.06 M allocations: 55.604 MiB, 3.21% gc time)
  0.930247 seconds (1.76 M allocations: 94.684 MiB, 3.85% gc time)
  1.201492 seconds (86.97 k allocations: 4.650 MiB, 22.46% gc time)
4
(1002, 1000)
Starting training
Epoch 1, current loss (training) 7.0541, current loss (val) 1.7908, best loss (val) 1.7908 
Epoch 2, current loss (training) 6.2636, current loss (val) 1.5636, best loss (val) 1.5636 
Epoch 3, current loss (training) 2.6618, current loss (val) 1.4219, best loss (val) 1.4219 
Epoch 4, current loss (training) 3.5607, current loss (val) 1.2616, best loss (val) 1.2616 
Epoch 5, current loss (training) 5.0238, current loss (val) 1.1124, best loss (val) 1.1124 
Epoch 6, current loss (training) 2.3337, current loss (val) 1.0531, best loss (val) 1.0531 
Epoch 7, current loss (training) 3.2397, current loss (val) 1.1623, best loss (val) 1.0531 
Epoch 8, current loss (training) 2.2787, current loss (val) 1.1344, best loss (val) 1.0531 
Epoch 9, current loss (training) 2.3850, current loss (val) 1.1427, best loss (val) 1.0531 
Epoch 10, current loss (training) 3.5649, current loss (val) 1.1089, best loss (val) 1.0531 
Epoch 11, current loss (training) 2.7661, current loss (val) 0.8947, best loss (val) 0.8947 
Epoch 12, current loss (training) 2.7880, current loss (val) 0.8118, best loss (val) 0.8118 
Epoch 13, current loss (training) 3.8835, current loss (val) 1.0284, best loss (val) 0.8118 
Epoch 14, current loss (training) 2.2665, current loss (val) 1.1114, best loss (val) 0.8118 
Epoch 15, current loss (training) 2.1479, current loss (val) 0.8937, best loss (val) 0.8118 
Epoch 16, current loss (training) 3.9587, current loss (val) 0.8429, best loss (val) 0.8118 
Epoch 17, current loss (training) 1.3719, current loss (val) 0.9240, best loss (val) 0.8118 
Epoch 18, current loss (training) 3.1398, current loss (val) 0.9363, best loss (val) 0.8118 
Epoch 19, current loss (training) 1.7029, current loss (val) 0.8823, best loss (val) 0.8118 
Epoch 20, current loss (training) 1.8165, current loss (val) 0.8158, best loss (val) 0.8118 
Epoch 21, current loss (training) 3.7055, current loss (val) 0.7777, best loss (val) 0.7777 
Epoch 22, current loss (training) 1.3401, current loss (val) 0.7946, best loss (val) 0.7777 
Epoch 23, current loss (training) 2.2491, current loss (val) 0.8176, best loss (val) 0.7777 
Epoch 24, current loss (training) 2.1898, current loss (val) 0.8606, best loss (val) 0.7777 
Epoch 25, current loss (training) 1.6378, current loss (val) 0.9185, best loss (val) 0.7777 
Epoch 26, current loss (training) 2.8848, current loss (val) 0.8476, best loss (val) 0.7777 
Epoch 27, current loss (training) 2.1679, current loss (val) 0.6850, best loss (val) 0.6850 
Epoch 28, current loss (training) 2.1227, current loss (val) 0.7237, best loss (val) 0.6850 
Epoch 29, current loss (training) 1.3093, current loss (val) 0.8068, best loss (val) 0.6850 
Epoch 30, current loss (training) 1.3888, current loss (val) 0.8925, best loss (val) 0.6850 
Epoch 31, current loss (training) 1.5194, current loss (val) 0.7735, best loss (val) 0.6850 
Epoch 32, current loss (training) 1.9383, current loss (val) 0.8816, best loss (val) 0.6850 
Epoch 33, current loss (training) 2.1730, current loss (val) 0.9714, best loss (val) 0.6850 
Epoch 34, current loss (training) 1.0058, current loss (val) 0.7953, best loss (val) 0.6850 
Epoch 35, current loss (training) 1.9647, current loss (val) 0.7906, best loss (val) 0.6850 
Epoch 36, current loss (training) 1.8632, current loss (val) 0.7331, best loss (val) 0.6850 
Epoch 37, current loss (training) 1.5855, current loss (val) 1.1342, best loss (val) 0.6850 
Epoch 38, current loss (training) 2.1177, current loss (val) 0.8133, best loss (val) 0.6850 
Epoch 39, current loss (training) 1.5139, current loss (val) 0.6128, best loss (val) 0.6128 
Epoch 40, current loss (training) 1.4606, current loss (val) 0.9123, best loss (val) 0.6128 
Epoch 41, current loss (training) 1.4295, current loss (val) 0.8666, best loss (val) 0.6128 
