/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
0
-1
-1
Loading alpha-stable model
Nbr training obs 500000, nbr parameters 115654, obs/parameters 4.32
Starting training
Epoch 1, current loss (training) 0.4628, current loss (val) 0.4977, best loss (val) 0.4977 
Epoch 2, current loss (training) 0.4878, current loss (val) 0.4048, best loss (val) 0.4048 
Epoch 3, current loss (training) 0.3721, current loss (val) 0.4394, best loss (val) 0.4048 
Epoch 4, current loss (training) 0.3891, current loss (val) 0.3870, best loss (val) 0.3870 
Epoch 5, current loss (training) 0.4235, current loss (val) 0.4596, best loss (val) 0.3870 
Epoch 6, current loss (training) 0.3611, current loss (val) 0.3624, best loss (val) 0.3624 
Epoch 7, current loss (training) 0.3808, current loss (val) 0.4660, best loss (val) 0.3624 
Epoch 8, current loss (training) 0.2794, current loss (val) 0.3651, best loss (val) 0.3624 
Epoch 9, current loss (training) 0.3156, current loss (val) 0.4721, best loss (val) 0.3624 
Epoch 10, current loss (training) 0.3989, current loss (val) 0.4035, best loss (val) 0.3624 
Epoch 11, current loss (training) 0.2370, current loss (val) 0.3806, best loss (val) 0.3624 
Epoch 12, current loss (training) 0.2760, current loss (val) 0.3766, best loss (val) 0.3624 
Epoch 13, current loss (training) 0.2493, current loss (val) 0.4129, best loss (val) 0.3624 
Epoch 14, current loss (training) 0.2217, current loss (val) 0.3854, best loss (val) 0.3624 
Epoch 15, current loss (training) 0.2724, current loss (val) 0.4071, best loss (val) 0.3624 
Epoch 16, current loss (training) 0.2310, current loss (val) 0.4147, best loss (val) 0.3624 
Epoch 17, current loss (training) 0.2580, current loss (val) 0.4044, best loss (val) 0.3624 
Epoch 18, current loss (training) 0.2540, current loss (val) 0.4230, best loss (val) 0.3624 
Epoch 19, current loss (training) 0.2221, current loss (val) 0.3788, best loss (val) 0.3624 
Epoch 20, current loss (training) 0.2578, current loss (val) 0.4078, best loss (val) 0.3624 
Epoch 21, current loss (training) 0.2108, current loss (val) 0.3906, best loss (val) 0.3624 
Epoch 22, current loss (training) 0.2368, current loss (val) 0.4036, best loss (val) 0.3624 
Epoch 23, current loss (training) 0.2025, current loss (val) 0.3905, best loss (val) 0.3624 
Epoch 24, current loss (training) 0.2045, current loss (val) 0.3788, best loss (val) 0.3624 
Epoch 25, current loss (training) 0.1871, current loss (val) 0.3754, best loss (val) 0.3624 
Epoch 26, current loss (training) 0.2027, current loss (val) 0.3813, best loss (val) 0.3624 
Epoch 27, current loss (training) 0.2083, current loss (val) 0.3686, best loss (val) 0.3624 
Epoch 28, current loss (training) 0.2123, current loss (val) 0.3828, best loss (val) 0.3624 
Epoch 29, current loss (training) 0.1905, current loss (val) 0.3855, best loss (val) 0.3624 
Epoch 30, current loss (training) 0.1884, current loss (val) 0.3994, best loss (val) 0.3624 
Epoch 31, current loss (training) 0.1728, current loss (val) 0.3770, best loss (val) 0.3624 
Epoch 32, current loss (training) 0.1822, current loss (val) 0.3818, best loss (val) 0.3624 
Epoch 33, current loss (training) 0.2068, current loss (val) 0.4099, best loss (val) 0.3624 
Epoch 34, current loss (training) 0.1855, current loss (val) 0.3771, best loss (val) 0.3624 
Epoch 35, current loss (training) 0.2017, current loss (val) 0.4020, best loss (val) 0.3624 
Epoch 36, current loss (training) 0.1857, current loss (val) 0.4130, best loss (val) 0.3624 
Epoch 37, current loss (training) 0.1713, current loss (val) 0.3804, best loss (val) 0.3624 
Epoch 38, current loss (training) 0.1813, current loss (val) 0.3966, best loss (val) 0.3624 
Epoch 39, current loss (training) 0.1734, current loss (val) 0.4043, best loss (val) 0.3624 
Epoch 40, current loss (training) 0.1780, current loss (val) 0.4035, best loss (val) 0.3624 
