/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
0
-1
-1
Loading alpha-stable model
Nbr training obs 1000, nbr parameters 26089, obs/parameters 0.04
Starting training
Epoch 1, current loss (training) 21.0519, current loss (val) 10.1005, best loss (val) 10.1005 
Epoch 2, current loss (training) 24.1882, current loss (val) 9.2256, best loss (val) 9.2256 
Epoch 3, current loss (training) 13.1384, current loss (val) 8.8697, best loss (val) 8.8697 
Epoch 4, current loss (training) 13.3391, current loss (val) 8.2277, best loss (val) 8.2277 
Epoch 5, current loss (training) 20.7488, current loss (val) 7.9153, best loss (val) 7.9153 
Epoch 6, current loss (training) 10.4995, current loss (val) 7.7619, best loss (val) 7.7619 
Epoch 7, current loss (training) 14.4245, current loss (val) 7.4906, best loss (val) 7.4906 
Epoch 8, current loss (training) 13.0013, current loss (val) 7.2514, best loss (val) 7.2514 
Epoch 9, current loss (training) 11.3388, current loss (val) 7.3960, best loss (val) 7.2514 
Epoch 10, current loss (training) 14.9915, current loss (val) 7.0758, best loss (val) 7.0758 
Epoch 11, current loss (training) 11.7716, current loss (val) 7.1546, best loss (val) 7.0758 
Epoch 12, current loss (training) 8.2273, current loss (val) 7.0358, best loss (val) 7.0358 
Epoch 13, current loss (training) 10.6553, current loss (val) 7.0366, best loss (val) 7.0358 
Epoch 14, current loss (training) 9.4397, current loss (val) 7.0109, best loss (val) 7.0109 
Epoch 15, current loss (training) 5.7371, current loss (val) 7.1088, best loss (val) 7.0109 
Epoch 16, current loss (training) 12.5176, current loss (val) 6.9406, best loss (val) 6.9406 
Epoch 17, current loss (training) 6.5859, current loss (val) 7.0298, best loss (val) 6.9406 
Epoch 18, current loss (training) 9.7952, current loss (val) 6.7830, best loss (val) 6.7830 
Epoch 19, current loss (training) 5.9264, current loss (val) 7.0574, best loss (val) 6.7830 
Epoch 20, current loss (training) 5.6913, current loss (val) 7.0666, best loss (val) 6.7830 
Epoch 21, current loss (training) 6.9219, current loss (val) 6.9784, best loss (val) 6.7830 
Epoch 22, current loss (training) 4.5609, current loss (val) 7.2357, best loss (val) 6.7830 
Epoch 23, current loss (training) 5.6349, current loss (val) 6.9340, best loss (val) 6.7830 
Epoch 24, current loss (training) 5.2536, current loss (val) 7.7982, best loss (val) 6.7830 
Epoch 25, current loss (training) 5.9292, current loss (val) 7.0985, best loss (val) 6.7830 
Epoch 26, current loss (training) 5.5459, current loss (val) 7.1307, best loss (val) 6.7830 
Epoch 27, current loss (training) 4.5587, current loss (val) 8.3177, best loss (val) 6.7830 
Epoch 28, current loss (training) 3.7831, current loss (val) 7.2300, best loss (val) 6.7830 
Epoch 29, current loss (training) 2.6196, current loss (val) 8.1867, best loss (val) 6.7830 
Epoch 30, current loss (training) 2.5694, current loss (val) 8.7340, best loss (val) 6.7830 
Epoch 31, current loss (training) 3.4693, current loss (val) 7.8422, best loss (val) 6.7830 
