/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
0
-1
-1
Loading alpha-stable model
Nbr training obs 10000, nbr parameters 115654, obs/parameters 0.09
Starting training
Epoch 63, current loss (training) 0.0779, current loss (val) 0.9877, best loss (val) 0.9666 
Epoch 64, current loss (training) 0.0752, current loss (val) 0.9971, best loss (val) 0.9666 
Epoch 65, current loss (training) 0.0700, current loss (val) 0.9880, best loss (val) 0.9666 
Epoch 66, current loss (training) 0.0706, current loss (val) 0.9916, best loss (val) 0.9666 
Epoch 67, current loss (training) 0.0839, current loss (val) 0.9954, best loss (val) 0.9666 
Epoch 68, current loss (training) 0.0919, current loss (val) 1.0061, best loss (val) 0.9666 
Epoch 69, current loss (training) 0.0818, current loss (val) 0.9930, best loss (val) 0.9666 
Epoch 70, current loss (training) 0.0855, current loss (val) 0.9862, best loss (val) 0.9666 
Epoch 71, current loss (training) 0.0781, current loss (val) 0.9709, best loss (val) 0.9666 
Epoch 72, current loss (training) 0.0845, current loss (val) 0.9815, best loss (val) 0.9666 
Epoch 73, current loss (training) 0.0803, current loss (val) 0.9670, best loss (val) 0.9666 
Epoch 74, current loss (training) 0.0677, current loss (val) 0.9767, best loss (val) 0.9666 
Epoch 75, current loss (training) 0.0709, current loss (val) 0.9629, best loss (val) 0.9629 
Epoch 76, current loss (training) 0.0645, current loss (val) 0.9814, best loss (val) 0.9629 
Epoch 77, current loss (training) 0.0897, current loss (val) 0.9839, best loss (val) 0.9629 
Epoch 78, current loss (training) 0.0994, current loss (val) 0.9897, best loss (val) 0.9629 
Epoch 79, current loss (training) 0.0710, current loss (val) 0.9828, best loss (val) 0.9629 
Epoch 80, current loss (training) 0.0558, current loss (val) 0.9555, best loss (val) 0.9555 
Epoch 81, current loss (training) 0.0595, current loss (val) 0.9580, best loss (val) 0.9555 
Epoch 82, current loss (training) 0.0741, current loss (val) 0.9655, best loss (val) 0.9555 
Epoch 83, current loss (training) 0.0833, current loss (val) 0.9992, best loss (val) 0.9555 
Epoch 84, current loss (training) 0.1037, current loss (val) 1.0187, best loss (val) 0.9555 
Epoch 85, current loss (training) 0.0707, current loss (val) 0.9611, best loss (val) 0.9555 
Epoch 86, current loss (training) 0.1888, current loss (val) 1.0661, best loss (val) 0.9555 
Epoch 87, current loss (training) 0.1511, current loss (val) 0.9793, best loss (val) 0.9555 
Epoch 88, current loss (training) 0.0825, current loss (val) 0.9445, best loss (val) 0.9445 
Epoch 89, current loss (training) 0.1100, current loss (val) 0.9528, best loss (val) 0.9445 
Epoch 90, current loss (training) 0.0642, current loss (val) 0.9411, best loss (val) 0.9411 
Epoch 91, current loss (training) 0.0565, current loss (val) 0.9376, best loss (val) 0.9376 
Epoch 92, current loss (training) 0.0475, current loss (val) 0.9359, best loss (val) 0.9359 
Epoch 93, current loss (training) 0.0383, current loss (val) 0.9359, best loss (val) 0.9359 
Epoch 94, current loss (training) 0.0576, current loss (val) 0.9380, best loss (val) 0.9359 
Epoch 95, current loss (training) 0.0396, current loss (val) 0.9482, best loss (val) 0.9359 
Epoch 96, current loss (training) 0.0377, current loss (val) 0.9495, best loss (val) 0.9359 
Epoch 97, current loss (training) 0.0418, current loss (val) 0.9501, best loss (val) 0.9359 
Epoch 98, current loss (training) 0.0328, current loss (val) 0.9566, best loss (val) 0.9359 
Epoch 99, current loss (training) 0.0413, current loss (val) 0.9597, best loss (val) 0.9359 
Epoch 100, current loss (training) 0.0403, current loss (val) 0.9623, best loss (val) 0.9359 
Epoch 101, current loss (training) 0.0423, current loss (val) 0.9612, best loss (val) 0.9359 
Epoch 102, current loss (training) 0.0884, current loss (val) 0.9693, best loss (val) 0.9359 
Epoch 103, current loss (training) 0.0500, current loss (val) 0.9512, best loss (val) 0.9359 
Epoch 104, current loss (training) 0.0512, current loss (val) 0.9504, best loss (val) 0.9359 
Epoch 105, current loss (training) 0.0509, current loss (val) 0.9570, best loss (val) 0.9359 
