Tue Oct 30 10:07:09 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   24C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   61C    P0   147W / 149W |  11408MiB / 11441MiB |     98%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   52C    P0   108W / 149W |  11409MiB / 11441MiB |     73%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   78C    P0   151W / 149W |  11408MiB / 11441MiB |     98%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    1    181794      C   julia                                      11395MiB |
|    2    181870      C   julia                                      11395MiB |
|    3    181965      C   julia                                      11395MiB |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
DNN_simple
standard
500
2
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
0
0
Loading MA2 model
Nbr training obs 100000, nbr parameters 25352, obs/parameters 3.94
0
Starting training
Epoch 1, current loss (training) 0.0758, current loss (val) 0.0796
Epoch 2, current loss (training) 0.0559, current loss (val) 0.0621
Epoch 3, current loss (training) 0.0507, current loss (val) 0.0550
Epoch 4, current loss (training) 0.0437, current loss (val) 0.0505
Epoch 5, current loss (training) 0.0422, current loss (val) 0.0484
Epoch 6, current loss (training) 0.0394, current loss (val) 0.0460
Epoch 7, current loss (training) 0.0366, current loss (val) 0.0444
Epoch 8, current loss (training) 0.0365, current loss (val) 0.0442
Epoch 9, current loss (training) 0.0356, current loss (val) 0.0428
Epoch 10, current loss (training) 0.0341, current loss (val) 0.0416
Epoch 11, current loss (training) 0.0325, current loss (val) 0.0407
Epoch 12, current loss (training) 0.0332, current loss (val) 0.0404
Epoch 13, current loss (training) 0.0312, current loss (val) 0.0397
Epoch 14, current loss (training) 0.0309, current loss (val) 0.0390
Epoch 15, current loss (training) 0.0309, current loss (val) 0.0385
Epoch 16, current loss (training) 0.0294, current loss (val) 0.0384
Epoch 17, current loss (training) 0.0288, current loss (val) 0.0376
Epoch 18, current loss (training) 0.0294, current loss (val) 0.0377
Epoch 19, current loss (training) 0.0285, current loss (val) 0.0374
Epoch 20, current loss (training) 0.0288, current loss (val) 0.0372
Epoch 21, current loss (training) 0.0288, current loss (val) 0.0370
Epoch 22, current loss (training) 0.0273, current loss (val) 0.0364
Epoch 23, current loss (training) 0.0266, current loss (val) 0.0363
Epoch 24, current loss (training) 0.0280, current loss (val) 0.0366
Epoch 25, current loss (training) 0.0275, current loss (val) 0.0365
Epoch 26, current loss (training) 0.0270, current loss (val) 0.0365
Epoch 27, current loss (training) 0.0265, current loss (val) 0.0358
Epoch 28, current loss (training) 0.0280, current loss (val) 0.0373
Epoch 29, current loss (training) 0.0255, current loss (val) 0.0351
Epoch 30, current loss (training) 0.0261, current loss (val) 0.0356
Epoch 31, current loss (training) 0.0257, current loss (val) 0.0357
Epoch 32, current loss (training) 0.0266, current loss (val) 0.0357
Epoch 33, current loss (training) 0.0254, current loss (val) 0.0357
Epoch 34, current loss (training) 0.0247, current loss (val) 0.0352
Epoch 35, current loss (training) 0.0262, current loss (val) 0.0372
Epoch 36, current loss (training) 0.0259, current loss (val) 0.0361
Epoch 37, current loss (training) 0.0247, current loss (val) 0.0357
