Tue Oct 30 10:06:58 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   24C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   29C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   23C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   30C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
cnn
standard
500
3
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
Loading MA2 model
Nbr training obs 10000, nbr parameters 48503, obs/parameters 0.21
0
Starting training
Epoch 1, current loss (training) 0.2487, current loss (val) 0.2523
Epoch 2, current loss (training) 0.1889, current loss (val) 0.1949
Epoch 3, current loss (training) 0.1442, current loss (val) 0.1494
Epoch 4, current loss (training) 0.1072, current loss (val) 0.1157
Epoch 5, current loss (training) 0.0887, current loss (val) 0.0951
Epoch 6, current loss (training) 0.0828, current loss (val) 0.0857
Epoch 7, current loss (training) 0.0819, current loss (val) 0.0870
Epoch 8, current loss (training) 0.0722, current loss (val) 0.0806
Epoch 9, current loss (training) 0.0681, current loss (val) 0.0766
Epoch 10, current loss (training) 0.0652, current loss (val) 0.0741
Epoch 11, current loss (training) 0.0618, current loss (val) 0.0707
Epoch 12, current loss (training) 0.0586, current loss (val) 0.0698
Epoch 13, current loss (training) 0.0627, current loss (val) 0.0736
Epoch 14, current loss (training) 0.0569, current loss (val) 0.0693
Epoch 15, current loss (training) 0.0570, current loss (val) 0.0683
Epoch 16, current loss (training) 0.0727, current loss (val) 0.0813
Epoch 17, current loss (training) 0.0581, current loss (val) 0.0701
Epoch 18, current loss (training) 0.0564, current loss (val) 0.0687
Epoch 19, current loss (training) 0.0556, current loss (val) 0.0699
Epoch 20, current loss (training) 0.0528, current loss (val) 0.0675
Epoch 21, current loss (training) 0.0554, current loss (val) 0.0696
Epoch 22, current loss (training) 0.0487, current loss (val) 0.0661
Epoch 23, current loss (training) 0.0488, current loss (val) 0.0657
Epoch 24, current loss (training) 0.0480, current loss (val) 0.0647
Epoch 25, current loss (training) 0.0470, current loss (val) 0.0657
Epoch 26, current loss (training) 0.0448, current loss (val) 0.0644
Epoch 27, current loss (training) 0.0449, current loss (val) 0.0669
Epoch 28, current loss (training) 0.0461, current loss (val) 0.0661
Epoch 29, current loss (training) 0.0428, current loss (val) 0.0650
Epoch 30, current loss (training) 0.0431, current loss (val) 0.0669
Epoch 31, current loss (training) 0.0408, current loss (val) 0.0648
Epoch 32, current loss (training) 0.0402, current loss (val) 0.0655
Epoch 33, current loss (training) 0.0426, current loss (val) 0.0672
Epoch 34, current loss (training) 0.0386, current loss (val) 0.0645
Epoch 35, current loss (training) 0.0402, current loss (val) 0.0677
