Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
1
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading MA2 noisy data model
Nbr training obs 1000000, nbr parameters 11297, obs/parameters 88.52
0
Starting training
Epoch 1, current loss (training) 0.0826, current loss (val) 0.0824, best loss (val) 0.0824 
Epoch 2, current loss (training) 0.0682, current loss (val) 0.0648, best loss (val) 0.0648 
Epoch 3, current loss (training) 0.0606, current loss (val) 0.0604, best loss (val) 0.0604 
Epoch 4, current loss (training) 0.0555, current loss (val) 0.0574, best loss (val) 0.0574 
Epoch 5, current loss (training) 0.0556, current loss (val) 0.0556, best loss (val) 0.0556 
Epoch 6, current loss (training) 0.0555, current loss (val) 0.0553, best loss (val) 0.0553 
Epoch 7, current loss (training) 0.0548, current loss (val) 0.0543, best loss (val) 0.0543 
Epoch 8, current loss (training) 0.0536, current loss (val) 0.0541, best loss (val) 0.0541 
Epoch 9, current loss (training) 0.0541, current loss (val) 0.0537, best loss (val) 0.0537 
Epoch 10, current loss (training) 0.0548, current loss (val) 0.0533, best loss (val) 0.0533 
Epoch 11, current loss (training) 0.0523, current loss (val) 0.0525, best loss (val) 0.0525 
Epoch 12, current loss (training) 0.0507, current loss (val) 0.0526, best loss (val) 0.0525 
Epoch 13, current loss (training) 0.0515, current loss (val) 0.0529, best loss (val) 0.0525 
Epoch 14, current loss (training) 0.0518, current loss (val) 0.0531, best loss (val) 0.0525 
Epoch 15, current loss (training) 0.0502, current loss (val) 0.0516, best loss (val) 0.0516 
Epoch 16, current loss (training) 0.0507, current loss (val) 0.0517, best loss (val) 0.0516 
Epoch 17, current loss (training) 0.0514, current loss (val) 0.0531, best loss (val) 0.0516 
Epoch 18, current loss (training) 0.0511, current loss (val) 0.0525, best loss (val) 0.0516 
Epoch 19, current loss (training) 0.0513, current loss (val) 0.0514, best loss (val) 0.0514 
Epoch 20, current loss (training) 0.0507, current loss (val) 0.0516, best loss (val) 0.0514 
Epoch 21, current loss (training) 0.0509, current loss (val) 0.0509, best loss (val) 0.0509 
Epoch 22, current loss (training) 0.0504, current loss (val) 0.0514, best loss (val) 0.0509 
Epoch 23, current loss (training) 0.0501, current loss (val) 0.0508, best loss (val) 0.0508 
Epoch 24, current loss (training) 0.0507, current loss (val) 0.0510, best loss (val) 0.0508 
Epoch 25, current loss (training) 0.0505, current loss (val) 0.0504, best loss (val) 0.0504 
Epoch 26, current loss (training) 0.0500, current loss (val) 0.0516, best loss (val) 0.0504 
Epoch 27, current loss (training) 0.0523, current loss (val) 0.0506, best loss (val) 0.0504 
Epoch 28, current loss (training) 0.0502, current loss (val) 0.0517, best loss (val) 0.0504 
Epoch 29, current loss (training) 0.0505, current loss (val) 0.0507, best loss (val) 0.0504 
Epoch 30, current loss (training) 0.0497, current loss (val) 0.0504, best loss (val) 0.0504 
Epoch 31, current loss (training) 0.0500, current loss (val) 0.0503, best loss (val) 0.0503 
Epoch 32, current loss (training) 0.0503, current loss (val) 0.0509, best loss (val) 0.0503 
Epoch 33, current loss (training) 0.0514, current loss (val) 0.0503, best loss (val) 0.0503 
Epoch 34, current loss (training) 0.0502, current loss (val) 0.0506, best loss (val) 0.0503 
Epoch 35, current loss (training) 0.0499, current loss (val) 0.0504, best loss (val) 0.0503 
Epoch 36, current loss (training) 0.0504, current loss (val) 0.0507, best loss (val) 0.0503 
Epoch 37, current loss (training) 0.0497, current loss (val) 0.0504, best loss (val) 0.0503 
Epoch 38, current loss (training) 0.0503, current loss (val) 0.0507, best loss (val) 0.0503 
Epoch 39, current loss (training) 0.0502, current loss (val) 0.0507, best loss (val) 0.0503 
Epoch 40, current loss (training) 0.0501, current loss (val) 0.0507, best loss (val) 0.0503 
Epoch 41, current loss (training) 0.0502, current loss (val) 0.0504, best loss (val) 0.0503 
Epoch 42, current loss (training) 0.0495, current loss (val) 0.0502, best loss (val) 0.0502 
Epoch 43, current loss (training) 0.0495, current loss (val) 0.0500, best loss (val) 0.0500 
Epoch 44, current loss (training) 0.0483, current loss (val) 0.0507, best loss (val) 0.0500 
Epoch 45, current loss (training) 0.0492, current loss (val) 0.0502, best loss (val) 0.0500 
Epoch 46, current loss (training) 0.0506, current loss (val) 0.0500, best loss (val) 0.0500 
Epoch 47, current loss (training) 0.0503, current loss (val) 0.0512, best loss (val) 0.0500 
Epoch 48, current loss (training) 0.0518, current loss (val) 0.0506, best loss (val) 0.0500 
Epoch 49, current loss (training) 0.0479, current loss (val) 0.0506, best loss (val) 0.0500 
Epoch 50, current loss (training) 0.0503, current loss (val) 0.0503, best loss (val) 0.0500 
Epoch 51, current loss (training) 0.0490, current loss (val) 0.0501, best loss (val) 0.0500 
Epoch 52, current loss (training) 0.0512, current loss (val) 0.0503, best loss (val) 0.0500 
Epoch 53, current loss (training) 0.0503, current loss (val) 0.0508, best loss (val) 0.0500 
Epoch 54, current loss (training) 0.0503, current loss (val) 0.0505, best loss (val) 0.0500 
Epoch 55, current loss (training) 0.0495, current loss (val) 0.0503, best loss (val) 0.0500 
Epoch 56, current loss (training) 0.0488, current loss (val) 0.0501, best loss (val) 0.0500 
Epoch 57, current loss (training) 0.0497, current loss (val) 0.0512, best loss (val) 0.0500 
Epoch 58, current loss (training) 0.0491, current loss (val) 0.0503, best loss (val) 0.0500 
Epoch 59, current loss (training) 0.0506, current loss (val) 0.0503, best loss (val) 0.0500 
Epoch 60, current loss (training) 0.0485, current loss (val) 0.0502, best loss (val) 0.0500 
Epoch 61, current loss (training) 0.0496, current loss (val) 0.0504, best loss (val) 0.0500 
Epoch 62, current loss (training) 0.0482, current loss (val) 0.0498, best loss (val) 0.0498 
Epoch 63, current loss (training) 0.0476, current loss (val) 0.0504, best loss (val) 0.0498 
