Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
4
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading MA2 noisy data model
Nbr training obs 1000, nbr parameters 25352, obs/parameters 0.04
0
Starting training
Epoch 1, current loss (training) 3.3314, current loss (val) 3.4328, best loss (val) 3.4328 
Epoch 2, current loss (training) 3.2553, current loss (val) 3.3882, best loss (val) 3.3882 
Epoch 3, current loss (training) 2.4756, current loss (val) 2.8680, best loss (val) 2.8680 
Epoch 4, current loss (training) 1.4396, current loss (val) 1.8710, best loss (val) 1.8710 
Epoch 5, current loss (training) 1.1690, current loss (val) 1.6369, best loss (val) 1.6369 
Epoch 6, current loss (training) 1.0955, current loss (val) 1.5981, best loss (val) 1.5981 
Epoch 7, current loss (training) 0.9349, current loss (val) 1.4780, best loss (val) 1.4780 
Epoch 8, current loss (training) 0.7793, current loss (val) 1.3504, best loss (val) 1.3504 
Epoch 9, current loss (training) 0.6862, current loss (val) 1.2896, best loss (val) 1.2896 
Epoch 10, current loss (training) 0.6360, current loss (val) 1.2629, best loss (val) 1.2629 
Epoch 11, current loss (training) 0.5612, current loss (val) 1.2328, best loss (val) 1.2328 
Epoch 12, current loss (training) 0.5237, current loss (val) 1.2028, best loss (val) 1.2028 
Epoch 13, current loss (training) 0.4732, current loss (val) 1.1820, best loss (val) 1.1820 
Epoch 14, current loss (training) 0.4165, current loss (val) 1.1667, best loss (val) 1.1667 
Epoch 15, current loss (training) 0.4044, current loss (val) 1.1508, best loss (val) 1.1508 
Epoch 16, current loss (training) 0.3671, current loss (val) 1.1353, best loss (val) 1.1353 
Epoch 17, current loss (training) 0.3372, current loss (val) 1.1221, best loss (val) 1.1221 
Epoch 18, current loss (training) 0.3153, current loss (val) 1.1110, best loss (val) 1.1110 
Epoch 19, current loss (training) 0.2980, current loss (val) 1.1014, best loss (val) 1.1014 
Epoch 20, current loss (training) 0.2784, current loss (val) 1.0919, best loss (val) 1.0919 
Epoch 21, current loss (training) 0.2586, current loss (val) 1.0837, best loss (val) 1.0837 
Epoch 22, current loss (training) 0.2394, current loss (val) 1.0756, best loss (val) 1.0756 
Epoch 23, current loss (training) 0.2330, current loss (val) 1.0685, best loss (val) 1.0685 
Epoch 24, current loss (training) 0.2203, current loss (val) 1.0619, best loss (val) 1.0619 
Epoch 25, current loss (training) 0.2036, current loss (val) 1.0560, best loss (val) 1.0560 
Epoch 26, current loss (training) 0.1905, current loss (val) 1.0501, best loss (val) 1.0501 
Epoch 27, current loss (training) 0.1741, current loss (val) 1.0447, best loss (val) 1.0447 
Epoch 28, current loss (training) 0.1683, current loss (val) 1.0401, best loss (val) 1.0401 
Epoch 29, current loss (training) 0.1582, current loss (val) 1.0356, best loss (val) 1.0356 
Epoch 30, current loss (training) 0.1525, current loss (val) 1.0315, best loss (val) 1.0315 
Epoch 31, current loss (training) 0.1443, current loss (val) 1.0277, best loss (val) 1.0277 
Epoch 32, current loss (training) 0.1319, current loss (val) 1.0244, best loss (val) 1.0244 
Epoch 33, current loss (training) 0.1247, current loss (val) 1.0211, best loss (val) 1.0211 
Epoch 34, current loss (training) 0.1179, current loss (val) 1.0182, best loss (val) 1.0182 
Epoch 35, current loss (training) 0.1139, current loss (val) 1.0157, best loss (val) 1.0157 
Epoch 36, current loss (training) 0.1062, current loss (val) 1.0134, best loss (val) 1.0134 
Epoch 37, current loss (training) 0.1030, current loss (val) 1.0114, best loss (val) 1.0114 
Epoch 38, current loss (training) 0.0959, current loss (val) 1.0093, best loss (val) 1.0093 
Epoch 39, current loss (training) 0.0911, current loss (val) 1.0069, best loss (val) 1.0069 
Epoch 40, current loss (training) 0.0884, current loss (val) 1.0050, best loss (val) 1.0050 
Epoch 41, current loss (training) 0.0829, current loss (val) 1.0034, best loss (val) 1.0034 
Epoch 42, current loss (training) 0.0784, current loss (val) 1.0018, best loss (val) 1.0018 
Epoch 43, current loss (training) 0.0733, current loss (val) 1.0009, best loss (val) 1.0009 
Epoch 44, current loss (training) 0.0719, current loss (val) 0.9996, best loss (val) 0.9996 
Epoch 45, current loss (training) 0.0659, current loss (val) 0.9981, best loss (val) 0.9981 
Epoch 46, current loss (training) 0.0655, current loss (val) 0.9971, best loss (val) 0.9971 
Epoch 47, current loss (training) 0.0613, current loss (val) 0.9966, best loss (val) 0.9966 
Epoch 48, current loss (training) 0.0591, current loss (val) 0.9956, best loss (val) 0.9956 
Epoch 49, current loss (training) 0.0541, current loss (val) 0.9946, best loss (val) 0.9946 
Epoch 50, current loss (training) 0.0530, current loss (val) 0.9939, best loss (val) 0.9939 
Epoch 51, current loss (training) 0.0492, current loss (val) 0.9936, best loss (val) 0.9936 
Epoch 52, current loss (training) 0.0462, current loss (val) 0.9932, best loss (val) 0.9932 
Epoch 53, current loss (training) 0.0441, current loss (val) 0.9925, best loss (val) 0.9925 
Epoch 54, current loss (training) 0.0432, current loss (val) 0.9919, best loss (val) 0.9919 
Epoch 55, current loss (training) 0.0426, current loss (val) 0.9917, best loss (val) 0.9917 
Epoch 56, current loss (training) 0.0372, current loss (val) 0.9916, best loss (val) 0.9916 
Epoch 57, current loss (training) 0.0376, current loss (val) 0.9909, best loss (val) 0.9909 
Epoch 58, current loss (training) 0.0373, current loss (val) 0.9908, best loss (val) 0.9908 
