Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
4
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading MA2 noisy data model
Nbr training obs 1000, nbr parameters 11297, obs/parameters 0.09
0
Starting training
Epoch 1, current loss (training) 2.8956, current loss (val) 3.0088, best loss (val) 3.0088 
Epoch 2, current loss (training) 2.0062, current loss (val) 2.2517, best loss (val) 2.2517 
Epoch 3, current loss (training) 1.4096, current loss (val) 1.7178, best loss (val) 1.7178 
Epoch 4, current loss (training) 1.2070, current loss (val) 1.4668, best loss (val) 1.4668 
Epoch 5, current loss (training) 1.0492, current loss (val) 1.3298, best loss (val) 1.3298 
Epoch 6, current loss (training) 0.9500, current loss (val) 1.2376, best loss (val) 1.2376 
Epoch 7, current loss (training) 0.8810, current loss (val) 1.1743, best loss (val) 1.1743 
Epoch 8, current loss (training) 0.8054, current loss (val) 1.1344, best loss (val) 1.1344 
Epoch 9, current loss (training) 0.7524, current loss (val) 1.1089, best loss (val) 1.1089 
Epoch 10, current loss (training) 0.7011, current loss (val) 1.0903, best loss (val) 1.0903 
Epoch 11, current loss (training) 0.6727, current loss (val) 1.0769, best loss (val) 1.0769 
Epoch 12, current loss (training) 0.6561, current loss (val) 1.0658, best loss (val) 1.0658 
Epoch 13, current loss (training) 0.5905, current loss (val) 1.0563, best loss (val) 1.0563 
Epoch 14, current loss (training) 0.5639, current loss (val) 1.0462, best loss (val) 1.0462 
Epoch 15, current loss (training) 0.5541, current loss (val) 1.0366, best loss (val) 1.0366 
Epoch 16, current loss (training) 0.5166, current loss (val) 1.0286, best loss (val) 1.0286 
Epoch 17, current loss (training) 0.5020, current loss (val) 1.0210, best loss (val) 1.0210 
Epoch 18, current loss (training) 0.4680, current loss (val) 1.0139, best loss (val) 1.0139 
Epoch 19, current loss (training) 0.4501, current loss (val) 1.0074, best loss (val) 1.0074 
Epoch 20, current loss (training) 0.4273, current loss (val) 1.0004, best loss (val) 1.0004 
Epoch 21, current loss (training) 0.4011, current loss (val) 0.9949, best loss (val) 0.9949 
Epoch 22, current loss (training) 0.3888, current loss (val) 0.9901, best loss (val) 0.9901 
Epoch 23, current loss (training) 0.3739, current loss (val) 0.9858, best loss (val) 0.9858 
