Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
3
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading MA2 noisy data model
Nbr training obs 10000, nbr parameters 11297, obs/parameters 0.89
0
Starting training
Epoch 1, current loss (training) 1.2212, current loss (val) 1.2313, best loss (val) 1.2313 
Epoch 2, current loss (training) 0.8603, current loss (val) 0.9208, best loss (val) 0.9208 
Epoch 3, current loss (training) 0.7103, current loss (val) 0.7785, best loss (val) 0.7785 
Epoch 4, current loss (training) 0.5939, current loss (val) 0.6897, best loss (val) 0.6897 
Epoch 5, current loss (training) 0.5175, current loss (val) 0.6234, best loss (val) 0.6234 
Epoch 6, current loss (training) 0.4563, current loss (val) 0.5737, best loss (val) 0.5737 
Epoch 7, current loss (training) 0.4141, current loss (val) 0.5374, best loss (val) 0.5374 
Epoch 8, current loss (training) 0.3965, current loss (val) 0.5050, best loss (val) 0.5050 
Epoch 9, current loss (training) 0.3439, current loss (val) 0.4756, best loss (val) 0.4756 
Epoch 10, current loss (training) 0.3387, current loss (val) 0.4555, best loss (val) 0.4555 
Epoch 11, current loss (training) 0.3035, current loss (val) 0.4358, best loss (val) 0.4358 
Epoch 12, current loss (training) 0.2877, current loss (val) 0.4218, best loss (val) 0.4218 
Epoch 13, current loss (training) 0.2691, current loss (val) 0.4089, best loss (val) 0.4089 
Epoch 14, current loss (training) 0.2574, current loss (val) 0.3971, best loss (val) 0.3971 
Epoch 15, current loss (training) 0.2495, current loss (val) 0.3883, best loss (val) 0.3883 
Epoch 16, current loss (training) 0.2331, current loss (val) 0.3789, best loss (val) 0.3789 
Epoch 17, current loss (training) 0.2302, current loss (val) 0.3731, best loss (val) 0.3731 
Epoch 18, current loss (training) 0.2236, current loss (val) 0.3663, best loss (val) 0.3663 
Epoch 19, current loss (training) 0.2194, current loss (val) 0.3604, best loss (val) 0.3604 
Epoch 20, current loss (training) 0.2110, current loss (val) 0.3541, best loss (val) 0.3541 
Epoch 21, current loss (training) 0.1985, current loss (val) 0.3509, best loss (val) 0.3509 
Epoch 22, current loss (training) 0.1914, current loss (val) 0.3458, best loss (val) 0.3458 
Epoch 23, current loss (training) 0.1882, current loss (val) 0.3415, best loss (val) 0.3415 
Epoch 24, current loss (training) 0.1834, current loss (val) 0.3375, best loss (val) 0.3375 
Epoch 25, current loss (training) 0.1801, current loss (val) 0.3340, best loss (val) 0.3340 
Epoch 26, current loss (training) 0.1756, current loss (val) 0.3310, best loss (val) 0.3310 
Epoch 27, current loss (training) 0.1701, current loss (val) 0.3276, best loss (val) 0.3276 
Epoch 28, current loss (training) 0.1711, current loss (val) 0.3252, best loss (val) 0.3252 
Epoch 29, current loss (training) 0.1660, current loss (val) 0.3232, best loss (val) 0.3232 
Epoch 30, current loss (training) 0.1591, current loss (val) 0.3201, best loss (val) 0.3201 
Epoch 31, current loss (training) 0.1574, current loss (val) 0.3186, best loss (val) 0.3186 
Epoch 32, current loss (training) 0.1519, current loss (val) 0.3149, best loss (val) 0.3149 
Epoch 33, current loss (training) 0.1497, current loss (val) 0.3140, best loss (val) 0.3140 
Epoch 34, current loss (training) 0.1459, current loss (val) 0.3132, best loss (val) 0.3132 
Epoch 35, current loss (training) 0.1453, current loss (val) 0.3098, best loss (val) 0.3098 
Epoch 36, current loss (training) 0.1430, current loss (val) 0.3096, best loss (val) 0.3096 
Epoch 37, current loss (training) 0.1380, current loss (val) 0.3066, best loss (val) 0.3066 
Epoch 38, current loss (training) 0.1372, current loss (val) 0.3050, best loss (val) 0.3050 
Epoch 39, current loss (training) 0.1325, current loss (val) 0.3037, best loss (val) 0.3037 
Epoch 40, current loss (training) 0.1336, current loss (val) 0.3035, best loss (val) 0.3035 
Epoch 41, current loss (training) 0.1302, current loss (val) 0.3024, best loss (val) 0.3024 
Epoch 42, current loss (training) 0.1266, current loss (val) 0.3007, best loss (val) 0.3007 
Epoch 43, current loss (training) 0.1263, current loss (val) 0.3004, best loss (val) 0.3004 
Epoch 44, current loss (training) 0.1243, current loss (val) 0.3014, best loss (val) 0.3004 
Epoch 45, current loss (training) 0.1231, current loss (val) 0.2982, best loss (val) 0.2982 
Epoch 46, current loss (training) 0.1165, current loss (val) 0.2993, best loss (val) 0.2982 
Epoch 47, current loss (training) 0.1162, current loss (val) 0.2977, best loss (val) 0.2977 
Epoch 48, current loss (training) 0.1142, current loss (val) 0.2960, best loss (val) 0.2960 
Epoch 49, current loss (training) 0.1127, current loss (val) 0.2963, best loss (val) 0.2960 
Epoch 50, current loss (training) 0.1123, current loss (val) 0.2950, best loss (val) 0.2950 
Epoch 51, current loss (training) 0.1114, current loss (val) 0.2938, best loss (val) 0.2938 
Epoch 52, current loss (training) 0.1055, current loss (val) 0.2940, best loss (val) 0.2938 
Epoch 53, current loss (training) 0.1067, current loss (val) 0.2942, best loss (val) 0.2938 
Epoch 54, current loss (training) 0.1038, current loss (val) 0.2927, best loss (val) 0.2927 
Epoch 55, current loss (training) 0.1058, current loss (val) 0.2915, best loss (val) 0.2915 
Epoch 56, current loss (training) 0.1008, current loss (val) 0.2928, best loss (val) 0.2915 
Epoch 57, current loss (training) 0.0995, current loss (val) 0.2929, best loss (val) 0.2915 
Epoch 58, current loss (training) 0.0996, current loss (val) 0.2917, best loss (val) 0.2915 
Epoch 59, current loss (training) 0.0978, current loss (val) 0.2923, best loss (val) 0.2915 
Epoch 60, current loss (training) 0.0985, current loss (val) 0.2913, best loss (val) 0.2913 
Epoch 61, current loss (training) 0.0984, current loss (val) 0.2925, best loss (val) 0.2913 
Epoch 62, current loss (training) 0.0934, current loss (val) 0.2909, best loss (val) 0.2909 
Epoch 63, current loss (training) 0.0909, current loss (val) 0.2913, best loss (val) 0.2909 
Epoch 64, current loss (training) 0.0922, current loss (val) 0.2905, best loss (val) 0.2905 
Epoch 65, current loss (training) 0.0921, current loss (val) 0.2910, best loss (val) 0.2905 
Epoch 66, current loss (training) 0.0910, current loss (val) 0.2912, best loss (val) 0.2905 
Epoch 67, current loss (training) 0.0878, current loss (val) 0.2904, best loss (val) 0.2904 
Epoch 68, current loss (training) 0.0866, current loss (val) 0.2886, best loss (val) 0.2886 
Epoch 69, current loss (training) 0.0842, current loss (val) 0.2907, best loss (val) 0.2886 
Epoch 70, current loss (training) 0.0852, current loss (val) 0.2938, best loss (val) 0.2886 
Epoch 71, current loss (training) 0.0823, current loss (val) 0.2923, best loss (val) 0.2886 
Epoch 72, current loss (training) 0.0846, current loss (val) 0.2940, best loss (val) 0.2886 
Epoch 73, current loss (training) 0.0834, current loss (val) 0.2908, best loss (val) 0.2886 
Epoch 74, current loss (training) 0.0827, current loss (val) 0.2920, best loss (val) 0.2886 
Epoch 75, current loss (training) 0.0804, current loss (val) 0.2903, best loss (val) 0.2886 
Epoch 76, current loss (training) 0.0789, current loss (val) 0.2915, best loss (val) 0.2886 
Epoch 77, current loss (training) 0.0808, current loss (val) 0.2918, best loss (val) 0.2886 
Epoch 78, current loss (training) 0.0764, current loss (val) 0.2909, best loss (val) 0.2886 
Epoch 79, current loss (training) 0.0788, current loss (val) 0.2937, best loss (val) 0.2886 
Epoch 80, current loss (training) 0.0769, current loss (val) 0.2921, best loss (val) 0.2886 
Epoch 81, current loss (training) 0.0741, current loss (val) 0.2933, best loss (val) 0.2886 
Epoch 82, current loss (training) 0.0743, current loss (val) 0.2935, best loss (val) 0.2886 
Epoch 83, current loss (training) 0.0712, current loss (val) 0.2936, best loss (val) 0.2886 
Epoch 84, current loss (training) 0.0739, current loss (val) 0.2931, best loss (val) 0.2886 
Epoch 85, current loss (training) 0.0739, current loss (val) 0.2950, best loss (val) 0.2886 
Epoch 86, current loss (training) 0.0709, current loss (val) 0.2935, best loss (val) 0.2886 
Epoch 87, current loss (training) 0.0736, current loss (val) 0.2964, best loss (val) 0.2886 
Epoch 88, current loss (training) 0.0704, current loss (val) 0.2934, best loss (val) 0.2886 
Epoch 89, current loss (training) 0.0706, current loss (val) 0.2942, best loss (val) 0.2886 
Epoch 90, current loss (training) 0.0699, current loss (val) 0.2957, best loss (val) 0.2886 
Epoch 91, current loss (training) 0.0661, current loss (val) 0.2949, best loss (val) 0.2886 
Epoch 92, current loss (training) 0.0671, current loss (val) 0.2964, best loss (val) 0.2886 
Epoch 93, current loss (training) 0.0689, current loss (val) 0.2973, best loss (val) 0.2886 
Epoch 94, current loss (training) 0.0676, current loss (val) 0.2996, best loss (val) 0.2886 
Epoch 95, current loss (training) 0.0644, current loss (val) 0.2988, best loss (val) 0.2886 
Epoch 96, current loss (training) 0.0658, current loss (val) 0.2988, best loss (val) 0.2886 
Epoch 97, current loss (training) 0.0656, current loss (val) 0.2997, best loss (val) 0.2886 
Epoch 98, current loss (training) 0.0657, current loss (val) 0.3012, best loss (val) 0.2886 
Epoch 99, current loss (training) 0.0631, current loss (val) 0.2998, best loss (val) 0.2886 
Epoch 100, current loss (training) 0.0631, current loss (val) 0.2997, best loss (val) 0.2886 
Epoch 101, current loss (training) 0.0638, current loss (val) 0.3047, best loss (val) 0.2886 
Epoch 102, current loss (training) 0.0638, current loss (val) 0.3041, best loss (val) 0.2886 
Epoch 103, current loss (training) 0.0624, current loss (val) 0.3022, best loss (val) 0.2886 
Epoch 104, current loss (training) 0.0613, current loss (val) 0.3064, best loss (val) 0.2886 
Epoch 105, current loss (training) 0.0620, current loss (val) 0.3068, best loss (val) 0.2886 
Epoch 106, current loss (training) 0.0594, current loss (val) 0.3034, best loss (val) 0.2886 
Epoch 107, current loss (training) 0.0617, current loss (val) 0.3051, best loss (val) 0.2886 
Epoch 108, current loss (training) 0.0619, current loss (val) 0.3032, best loss (val) 0.2886 
Epoch 109, current loss (training) 0.0604, current loss (val) 0.3079, best loss (val) 0.2886 
Epoch 110, current loss (training) 0.0608, current loss (val) 0.3077, best loss (val) 0.2886 
Epoch 111, current loss (training) 0.0594, current loss (val) 0.3067, best loss (val) 0.2886 
Epoch 112, current loss (training) 0.0591, current loss (val) 0.3079, best loss (val) 0.2886 
Epoch 113, current loss (training) 0.0577, current loss (val) 0.3085, best loss (val) 0.2886 
Epoch 114, current loss (training) 0.0587, current loss (val) 0.3062, best loss (val) 0.2886 
Epoch 115, current loss (training) 0.0585, current loss (val) 0.3126, best loss (val) 0.2886 
Epoch 116, current loss (training) 0.0551, current loss (val) 0.3100, best loss (val) 0.2886 
Epoch 117, current loss (training) 0.0600, current loss (val) 0.3112, best loss (val) 0.2886 
Epoch 118, current loss (training) 0.0564, current loss (val) 0.3088, best loss (val) 0.2886 
Epoch 119, current loss (training) 0.0578, current loss (val) 0.3119, best loss (val) 0.2886 
Epoch 120, current loss (training) 0.0564, current loss (val) 0.3102, best loss (val) 0.2886 
Epoch 121, current loss (training) 0.0549, current loss (val) 0.3109, best loss (val) 0.2886 
Epoch 122, current loss (training) 0.0556, current loss (val) 0.3121, best loss (val) 0.2886 
Epoch 123, current loss (training) 0.0556, current loss (val) 0.3121, best loss (val) 0.2886 
Epoch 124, current loss (training) 0.0548, current loss (val) 0.3162, best loss (val) 0.2886 
Epoch 125, current loss (training) 0.0551, current loss (val) 0.3146, best loss (val) 0.2886 
Epoch 126, current loss (training) 0.0536, current loss (val) 0.3136, best loss (val) 0.2886 
Epoch 127, current loss (training) 0.0527, current loss (val) 0.3153, best loss (val) 0.2886 
Epoch 128, current loss (training) 0.0551, current loss (val) 0.3178, best loss (val) 0.2886 
Epoch 129, current loss (training) 0.0556, current loss (val) 0.3144, best loss (val) 0.2886 
Epoch 130, current loss (training) 0.0522, current loss (val) 0.3156, best loss (val) 0.2886 
Epoch 131, current loss (training) 0.0509, current loss (val) 0.3190, best loss (val) 0.2886 
Epoch 132, current loss (training) 0.0535, current loss (val) 0.3203, best loss (val) 0.2886 
Epoch 133, current loss (training) 0.0528, current loss (val) 0.3198, best loss (val) 0.2886 
Epoch 134, current loss (training) 0.0526, current loss (val) 0.3184, best loss (val) 0.2886 
Epoch 135, current loss (training) 0.0519, current loss (val) 0.3220, best loss (val) 0.2886 
Epoch 136, current loss (training) 0.0509, current loss (val) 0.3186, best loss (val) 0.2886 
Epoch 137, current loss (training) 0.0518, current loss (val) 0.3193, best loss (val) 0.2886 
Epoch 138, current loss (training) 0.0496, current loss (val) 0.3225, best loss (val) 0.2886 
Epoch 139, current loss (training) 0.0502, current loss (val) 0.3209, best loss (val) 0.2886 
Epoch 140, current loss (training) 0.0516, current loss (val) 0.3215, best loss (val) 0.2886 
Epoch 141, current loss (training) 0.0508, current loss (val) 0.3200, best loss (val) 0.2886 
Epoch 142, current loss (training) 0.0504, current loss (val) 0.3225, best loss (val) 0.2886 
Epoch 143, current loss (training) 0.0490, current loss (val) 0.3239, best loss (val) 0.2886 
Epoch 144, current loss (training) 0.0497, current loss (val) 0.3205, best loss (val) 0.2886 
Epoch 145, current loss (training) 0.0520, current loss (val) 0.3231, best loss (val) 0.2886 
Epoch 146, current loss (training) 0.0495, current loss (val) 0.3213, best loss (val) 0.2886 
Epoch 147, current loss (training) 0.0486, current loss (val) 0.3220, best loss (val) 0.2886 
Epoch 148, current loss (training) 0.0495, current loss (val) 0.3204, best loss (val) 0.2886 
Epoch 149, current loss (training) 0.0495, current loss (val) 0.3300, best loss (val) 0.2886 
Epoch 150, current loss (training) 0.0483, current loss (val) 0.3246, best loss (val) 0.2886 
Epoch 151, current loss (training) 0.0478, current loss (val) 0.3255, best loss (val) 0.2886 
Epoch 152, current loss (training) 0.0483, current loss (val) 0.3289, best loss (val) 0.2886 
