Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
2
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading MA2 noisy data model
Nbr training obs 100000, nbr parameters 11297, obs/parameters 8.85
0
Starting training
Epoch 1, current loss (training) 0.3698, current loss (val) 0.3692, best loss (val) 0.3692 
Epoch 2, current loss (training) 0.2516, current loss (val) 0.2594, best loss (val) 0.2594 
Epoch 3, current loss (training) 0.1982, current loss (val) 0.2052, best loss (val) 0.2052 
Epoch 4, current loss (training) 0.1667, current loss (val) 0.1704, best loss (val) 0.1704 
Epoch 5, current loss (training) 0.1384, current loss (val) 0.1434, best loss (val) 0.1434 
Epoch 6, current loss (training) 0.1189, current loss (val) 0.1226, best loss (val) 0.1226 
Epoch 7, current loss (training) 0.1010, current loss (val) 0.1046, best loss (val) 0.1046 
Epoch 8, current loss (training) 0.0871, current loss (val) 0.0934, best loss (val) 0.0934 
Epoch 9, current loss (training) 0.0843, current loss (val) 0.0879, best loss (val) 0.0879 
Epoch 10, current loss (training) 0.0781, current loss (val) 0.0841, best loss (val) 0.0841 
Epoch 11, current loss (training) 0.0758, current loss (val) 0.0805, best loss (val) 0.0805 
Epoch 12, current loss (training) 0.0729, current loss (val) 0.0781, best loss (val) 0.0781 
Epoch 13, current loss (training) 0.0699, current loss (val) 0.0762, best loss (val) 0.0762 
Epoch 14, current loss (training) 0.0690, current loss (val) 0.0746, best loss (val) 0.0746 
Epoch 15, current loss (training) 0.0652, current loss (val) 0.0738, best loss (val) 0.0738 
Epoch 16, current loss (training) 0.0650, current loss (val) 0.0732, best loss (val) 0.0732 
Epoch 17, current loss (training) 0.0625, current loss (val) 0.0712, best loss (val) 0.0712 
Epoch 18, current loss (training) 0.0652, current loss (val) 0.0709, best loss (val) 0.0709 
Epoch 19, current loss (training) 0.0631, current loss (val) 0.0698, best loss (val) 0.0698 
Epoch 20, current loss (training) 0.0618, current loss (val) 0.0685, best loss (val) 0.0685 
Epoch 21, current loss (training) 0.0583, current loss (val) 0.0684, best loss (val) 0.0684 
Epoch 22, current loss (training) 0.0601, current loss (val) 0.0684, best loss (val) 0.0684 
Epoch 23, current loss (training) 0.0604, current loss (val) 0.0686, best loss (val) 0.0684 
Epoch 24, current loss (training) 0.0596, current loss (val) 0.0674, best loss (val) 0.0674 
Epoch 25, current loss (training) 0.0594, current loss (val) 0.0665, best loss (val) 0.0665 
Epoch 26, current loss (training) 0.0590, current loss (val) 0.0668, best loss (val) 0.0665 
Epoch 27, current loss (training) 0.0578, current loss (val) 0.0663, best loss (val) 0.0663 
Epoch 28, current loss (training) 0.0574, current loss (val) 0.0663, best loss (val) 0.0663 
Epoch 29, current loss (training) 0.0556, current loss (val) 0.0658, best loss (val) 0.0658 
Epoch 30, current loss (training) 0.0572, current loss (val) 0.0656, best loss (val) 0.0656 
Epoch 31, current loss (training) 0.0559, current loss (val) 0.0659, best loss (val) 0.0656 
Epoch 32, current loss (training) 0.0539, current loss (val) 0.0632, best loss (val) 0.0632 
Epoch 33, current loss (training) 0.0545, current loss (val) 0.0640, best loss (val) 0.0632 
Epoch 34, current loss (training) 0.0546, current loss (val) 0.0632, best loss (val) 0.0632 
Epoch 35, current loss (training) 0.0542, current loss (val) 0.0628, best loss (val) 0.0628 
Epoch 36, current loss (training) 0.0542, current loss (val) 0.0628, best loss (val) 0.0628 
Epoch 37, current loss (training) 0.0532, current loss (val) 0.0627, best loss (val) 0.0627 
Epoch 38, current loss (training) 0.0529, current loss (val) 0.0620, best loss (val) 0.0620 
Epoch 39, current loss (training) 0.0547, current loss (val) 0.0629, best loss (val) 0.0620 
Epoch 40, current loss (training) 0.0541, current loss (val) 0.0617, best loss (val) 0.0617 
Epoch 41, current loss (training) 0.0535, current loss (val) 0.0617, best loss (val) 0.0617 
Epoch 42, current loss (training) 0.0525, current loss (val) 0.0624, best loss (val) 0.0617 
Epoch 43, current loss (training) 0.0545, current loss (val) 0.0636, best loss (val) 0.0617 
Epoch 44, current loss (training) 0.0525, current loss (val) 0.0614, best loss (val) 0.0614 
Epoch 45, current loss (training) 0.0522, current loss (val) 0.0622, best loss (val) 0.0614 
Epoch 46, current loss (training) 0.0507, current loss (val) 0.0610, best loss (val) 0.0610 
Epoch 47, current loss (training) 0.0509, current loss (val) 0.0613, best loss (val) 0.0610 
Epoch 48, current loss (training) 0.0522, current loss (val) 0.0610, best loss (val) 0.0610 
Epoch 49, current loss (training) 0.0526, current loss (val) 0.0613, best loss (val) 0.0610 
Epoch 50, current loss (training) 0.0514, current loss (val) 0.0615, best loss (val) 0.0610 
Epoch 51, current loss (training) 0.0491, current loss (val) 0.0601, best loss (val) 0.0601 
