Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
4
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading AR2 model
Epoch 62, current loss (training) 0.3422, current loss (val) 2.9176, best loss (val) 2.9176 
Epoch 63, current loss (training) 0.3491, current loss (val) 2.9121, best loss (val) 2.9121 
Epoch 64, current loss (training) 0.3359, current loss (val) 2.8999, best loss (val) 2.8999 
Epoch 65, current loss (training) 0.3312, current loss (val) 2.8912, best loss (val) 2.8912 
Epoch 66, current loss (training) 0.3254, current loss (val) 2.8864, best loss (val) 2.8864 
Epoch 67, current loss (training) 0.3223, current loss (val) 2.8784, best loss (val) 2.8784 
Epoch 68, current loss (training) 0.3212, current loss (val) 2.8710, best loss (val) 2.8710 
Epoch 69, current loss (training) 0.3165, current loss (val) 2.8681, best loss (val) 2.8681 
Epoch 70, current loss (training) 0.3028, current loss (val) 2.8620, best loss (val) 2.8620 
Epoch 71, current loss (training) 0.3012, current loss (val) 2.8583, best loss (val) 2.8583 
Epoch 72, current loss (training) 0.2954, current loss (val) 2.8514, best loss (val) 2.8514 
Epoch 73, current loss (training) 0.3000, current loss (val) 2.8431, best loss (val) 2.8431 
Epoch 74, current loss (training) 0.2847, current loss (val) 2.8377, best loss (val) 2.8377 
Epoch 75, current loss (training) 0.2810, current loss (val) 2.8362, best loss (val) 2.8362 
Epoch 76, current loss (training) 0.2774, current loss (val) 2.8312, best loss (val) 2.8312 
Epoch 77, current loss (training) 0.2766, current loss (val) 2.8275, best loss (val) 2.8275 
Epoch 78, current loss (training) 0.2738, current loss (val) 2.8253, best loss (val) 2.8253 
Epoch 79, current loss (training) 0.2670, current loss (val) 2.8211, best loss (val) 2.8211 
Epoch 80, current loss (training) 0.2635, current loss (val) 2.8152, best loss (val) 2.8152 
Epoch 81, current loss (training) 0.2669, current loss (val) 2.8114, best loss (val) 2.8114 
Epoch 82, current loss (training) 0.2537, current loss (val) 2.8078, best loss (val) 2.8078 
Epoch 83, current loss (training) 0.2506, current loss (val) 2.8113, best loss (val) 2.8078 
Epoch 84, current loss (training) 0.2460, current loss (val) 2.8040, best loss (val) 2.8040 
Epoch 85, current loss (training) 0.2430, current loss (val) 2.8031, best loss (val) 2.8031 
Epoch 86, current loss (training) 0.2398, current loss (val) 2.7997, best loss (val) 2.7997 
Epoch 87, current loss (training) 0.2432, current loss (val) 2.7950, best loss (val) 2.7950 
Epoch 88, current loss (training) 0.2410, current loss (val) 2.7869, best loss (val) 2.7869 
Epoch 89, current loss (training) 0.2334, current loss (val) 2.7837, best loss (val) 2.7837 
Epoch 90, current loss (training) 0.2253, current loss (val) 2.7766, best loss (val) 2.7766 
Epoch 91, current loss (training) 0.2240, current loss (val) 2.7798, best loss (val) 2.7766 
